Date Reported,Date Occurred,Month,Day,Year,Time Occurred,Hour,Area ID,Area Name,Location ,Latitude,Longitude,Description,Classified Crime Type
1/24/2015,2/1/2012,2,1,2012,1000,10,7,Wilshire,"(34.0465, -118.3234)",34.0428,-118.3234,SEXUAL ASSAULT,Sexual Assault
10/19/2016,1/1/2012,1,1,2012,2000,20,10,West Valley,"(34.212, -118.5361)",34.0478,-118.5361,SEXUAL ASSAULT,Sexual Assault
2/4/2013,7/1/2012,7,1,2012,2359,23,12,77th Street,"(33.9527, -118.3134)",34.0535,-118.3134,SEXUAL ASSAULT,Sexual Assault
3/6/2013,9/3/2012,9,3,2012,936,9,16,Foothill,"(34.2614, -118.2979)",34.0687,-118.2979,SEXUAL ASSAULT,Sexual Assault
12/9/2015,11/1/2012,11,1,2012,1200,12,16,Foothill,"(34.2408, -118.4164)",34.0534,-118.4164,SEXUAL ASSAULT,Sexual Assault
9/9/2016,4/27/2012,4,27,2012,330,3,21,Topanga,"(34.1918, -118.582)",34.0596,-118.582,SEXUAL ASSAULT,Sexual Assault
2/6/2013,4/1/2012,4,1,2012,1200,12,1,Central,"(34.065, -118.2418)",34.0544,-118.2418,SEXUAL ASSAULT,Sexual Assault
3/1/2013,12/5/2012,12,5,2012,130,1,1,Central,"(34.045, -118.264)",34.0417,-118.264,SEXUAL ASSAULT,Sexual Assault
9/23/2013,1/1/2012,1,1,2012,300,3,1,Central,"(34.0473, -118.2601)",34.0512,-118.2601,SEXUAL ASSAULT,Sexual Assault
1/31/2013,12/2/2012,12,2,2012,130,1,2,Rampart,"(34.0517, -118.2798)",34.0276,-118.2798,SEXUAL ASSAULT,Sexual Assault
12/19/2013,12/23/2012,12,23,2012,500,5,2,Rampart,"(34.0656, -118.2678)",34.0348,-118.2678,SEXUAL ASSAULT,Sexual Assault
7/23/2015,10/7/2012,10,7,2012,830,8,2,Rampart,"(34.063, -118.2727)",34.0512,-118.2727,SEXUAL ASSAULT,Sexual Assault
4/27/2016,1/1/2012,1,1,2012,1,0,2,Rampart,"(34.0763, -118.2944)",34.0489,-118.2944,SEXUAL ASSAULT,Sexual Assault
9/20/2016,10/6/2012,10,6,2012,2230,22,2,Rampart,"(34.0518, -118.262)",33.7105,-118.262,SEXUAL ASSAULT,Sexual Assault
1/24/2013,7/21/2012,7,21,2012,1,0,3,Southwest,"(34.0132, -118.2915)",33.7257,-118.2915,SEXUAL ASSAULT,Sexual Assault
3/20/2013,10/1/2012,10,1,2012,2200,22,3,Southwest,"(34.0269, -118.2882)",33.7808,-118.2882,SEXUAL ASSAULT,Sexual Assault
5/2/2014,1/14/2012,1,14,2012,1000,10,3,Southwest,"(34.0263, -118.2808)",33.7306,-118.2808,SEXUAL ASSAULT,Sexual Assault
1/5/2015,1/1/2012,1,1,2012,1200,12,3,Southwest,"(34.0173, -118.3515)",34.1016,-118.3515,SEXUAL ASSAULT,Sexual Assault
3/2/2016,6/1/2012,6,1,2012,1800,18,3,Southwest,"(34.0175, -118.346)",34.1016,-118.346,SEXUAL ASSAULT,Sexual Assault
1/4/2013,7/1/2012,7,1,2012,1400,14,4,Hollenbeck,"(34.0781, -118.2181)",34.1112,-118.2181,SEXUAL ASSAULT,Sexual Assault
4/11/2013,12/22/2012,12,22,2012,2200,22,4,Hollenbeck,"(34.0907, -118.188)",34.1017,-118.188,SEXUAL ASSAULT,Sexual Assault
6/19/2013,6/1/2012,6,1,2012,1200,12,4,Hollenbeck,"(34.0477, -118.2098)",34.1053,-118.2098,SEXUAL ASSAULT,Sexual Assault
7/16/2013,6/1/2012,6,1,2012,1800,18,4,Hollenbeck,"(34.0188, -118.2052)",34.1016,-118.2052,SEXUAL ASSAULT,Sexual Assault
8/12/2013,12/9/2012,12,9,2012,1,0,4,Hollenbeck,"(34.0594, -118.2094)",34.0962,-118.2094,SEXUAL ASSAULT,Sexual Assault
1/2/2014,11/1/2012,11,1,2012,600,6,4,Hollenbeck,"(34.0432, -118.2149)",34.0835,-118.2149,SEXUAL ASSAULT,Sexual Assault
1/26/2015,1/26/2012,1,26,2012,1200,12,4,Hollenbeck,"(34.021, -118.208)",34.1034,-118.208,SEXUAL ASSAULT,Sexual Assault
2/20/2013,4/20/2012,4,20,2012,1600,16,5,Harbor,"(33.7892, -118.256)",34.0572,-118.256,SEXUAL ASSAULT,Sexual Assault
4/28/2013,11/21/2012,11,21,2012,300,3,5,Harbor,"(33.7868, -118.2676)",34.0623,-118.2676,SEXUAL ASSAULT,Sexual Assault
10/18/2015,12/1/2012,12,1,2012,2000,20,5,Harbor,"(33.7811, -118.2688)",34.0571,-118.2688,SEXUAL ASSAULT,Sexual Assault
1/25/2016,1/1/2012,1,1,2012,1,0,5,Harbor,"(33.7849, -118.2612)",34.0645,-118.2612,SEXUAL ASSAULT,Sexual Assault
2/6/2013,5/16/2012,5,16,2012,300,3,6,Hollywood,"(34.0944, -118.331)",34.0632,-118.331,SEXUAL ASSAULT,Sexual Assault
2/11/2013,12/15/2012,12,15,2012,1730,17,6,Hollywood,"(34.0908, -118.3223)",34.0508,-118.3223,SEXUAL ASSAULT,Sexual Assault
2/16/2013,12/1/2012,12,1,2012,1200,12,6,Hollywood,"(34.1005, -118.3071)",0,-118.3071,SEXUAL ASSAULT,Sexual Assault
2/28/2013,4/4/2012,4,4,2012,1600,16,6,Hollywood,"(34.0926, -118.3363)",34.0686,-118.3363,SEXUAL ASSAULT,Sexual Assault
7/9/2013,6/23/2012,6,23,2012,1400,14,6,Hollywood,"(34.0908, -118.3005)",34.1847,-118.3005,SEXUAL ASSAULT,Sexual Assault
5/2/2014,5/1/2012,5,1,2012,1200,12,6,Hollywood,"(34.0872, -118.3222)",34.1817,-118.3222,SEXUAL ASSAULT,Sexual Assault
11/3/2014,12/2/2012,12,2,2012,1600,16,6,Hollywood,"(34.0944, -118.331)",34.2202,-118.331,SEXUAL ASSAULT,Sexual Assault
3/19/2013,10/1/2012,10,1,2012,1200,12,7,Wilshire,"(34.0699, -118.3511)",34.1147,-118.3511,SEXUAL ASSAULT,Sexual Assault
1/31/2013,2/2/2012,2,2,2012,1200,12,8,West LA,"(34.0385, -118.5556)",33.9807,-118.5556,SEXUAL ASSAULT,Sexual Assault
4/11/2013,10/6/2012,10,6,2012,430,4,8,West LA,"(34.0324, -118.4175)",33.9737,-118.4175,SEXUAL ASSAULT,Sexual Assault
5/1/2013,12/10/2012,12,10,2012,1630,16,8,West LA,"(34.0416, -118.3836)",33.9747,-118.3836,SEXUAL ASSAULT,Sexual Assault
